id,produto,ano,valor,categoria,product_id
46,Vinho orgânico,1972,0,DERIVADOS,533eb334-13e6-4726-9b83-983123618b82
47,Espumante orgânico,1972,0,DERIVADOS,2d2fd323-9da3-4c39-8a3c-4d3b5ae0f036
48,Destilado alcoólico simples de bagaceira ,1972,0,DERIVADOS,a29bd327-583f-462f-8e15-38fdfaede45d
49,Vinho acidificado ,1972,0,DERIVADOS,566e55a4-3dbe-455b-880c-d4444d53e7a5
50,Mosto parcialmente fermentado ,1972,0,DERIVADOS,877eaadc-77f5-4a89-8677-2b2ec8501e21
51,Outros derivados,1972,0,DERIVADOS,01efdb27-0d02-48b7-a8b9-4261027acd13
2,Tinto,1973,88589019,VINHO DE MESA,ceda1316-e094-4d0f-b50a-eba0f1dabe0b
3,Branco,1973,243900,VINHO DE MESA,92d2306c-212e-48b5-b0e8-18c533e9c2d2
4,Rosado,1973,27877426,VINHO DE MESA,bf8ee3f2-0e30-4801-b4ed-599cbe0ddc67
6,Tinto,1973,3419625,VINHO FINO DE MESA (VINÍFERA),3394615f-c11b-4e97-84f8-d14351645c6a
7,Branco,1973,7930070,VINHO FINO DE MESA (VINÍFERA),6c0958f2-ae58-4b5e-9430-d18b9837f7d5
8,Rosado,1973,1018715,VINHO FINO DE MESA (VINÍFERA),40e75568-a496-48ef-80cf-7e6247849994
10,Suco de uva integral,1973,0,SUCO,6f026921-8091-4043-a477-7932dc49bf81
11,Suco de uva concentrado,1973,0,SUCO,86c10faf-03f3-471a-acac-69e96f29db59
12,Suco de uva adoçado,1973,0,SUCO,657db346-308d-4d08-ae7e-92ba325554b1
13,Suco de uva orgânico,1973,0,SUCO,c9f1cda7-db74-4aa2-bf5b-d356fd23768b
14,Suco de uva reconstituído,1973,0,SUCO,81aa5a41-17f1-47f1-b399-797b07a59bb0
16,Espumante,1973,0,DERIVADOS,2e8ece18-554e-41f3-bdbf-1090804853a4
17,Espumante moscatel,1973,0,DERIVADOS,34a2865f-5cb4-4c39-8270-850b1c920c8e
18,Base espumante,1973,0,DERIVADOS,be30dd1f-f907-4c76-a4e6-be6d552922d2
19,Base espumante moscatel,1973,0,DERIVADOS,b23c71e0-5b0c-4cc1-88ac-cbf5bbb9acd5
20,Base Champenoise champanha,1973,0,DERIVADOS,516516e6-b37f-493e-bf63-4fc274a8b875
21,Base Charmat champanha,1973,0,DERIVADOS,ec09f154-cb88-405e-85e0-0005e483f83a
22,Bebida de uva,1973,0,DERIVADOS,de347729-67a8-4d82-967a-5f39dd338ab5
23,Polpa de uva,1973,0,DERIVADOS,aa5958dc-22b8-4dfd-b7c4-9fafe3f1ab67
24,Mosto simples,1973,21779327,DERIVADOS,2be25b0e-29a6-445a-88d4-7ea79dadf9b1
25,Mosto concentrado,1973,0,DERIVADOS,b33ee018-8e8e-4ab4-a0c6-cdf278478964
26,Mosto de uva com bagaço,1973,0,DERIVADOS,efed4e9d-88f5-4e10-b416-b6042b33249d
27,Mosto dessulfitado,1973,0,DERIVADOS,8783ab51-da5d-4724-88bb-4ba0074e1287
28,Mistelas,1973,512900,DERIVADOS,5f897635-e997-4951-ba0b-2ac72702a897
29,Néctar de uva,1973,0,DERIVADOS,de6e62e0-43e2-4ebd-b60b-dfcc49913399
30,Licorosos,1973,176500,DERIVADOS,a9fde97f-aacd-4596-b241-6fa4e48b6310
31,Compostos,1973,1628000,DERIVADOS,3c714a5d-30ba-4c4b-a3f1-95e6c0c46170
32,Jeropiga,1973,0,DERIVADOS,f29d54a8-1f76-400b-88be-a71e73ea4fda
33,Filtrado,1973,0,DERIVADOS,41d1c593-9d1f-4e62-b6db-2800fed2b7e0
34,Frisante,1973,0,DERIVADOS,386bed8d-8490-4c59-a6fe-0b447d58c57a
35,Vinho leve,1973,0,DERIVADOS,6aa8ab62-a96e-4cd6-ad01-8ee64910e7f1
36,Vinho licoroso,1973,0,DERIVADOS,2987d49a-1ebe-479e-8689-1fa9f2fa4245
37,Brandy,1973,0,DERIVADOS,1608728b-397e-47b5-bc9b-101a0b79c0eb
38,Destilado,1973,0,DERIVADOS,9225573b-28d7-4179-95cc-1b35a34c8dee
39,Bagaceira,1973,661270,DERIVADOS,a5659e8f-44c9-4a3a-bfbc-606b4bd2bfba
40,Licor de bagaceira,1973,0,DERIVADOS,2c1a2615-7344-40e8-ab3d-e5ab4eed918d
41,Vinagre,1973,0,DERIVADOS,009e15f7-49c2-4b4b-b233-d95a444ccb09
