id,control,cultivar,ano,valor,categoria,product_id
100,br_Moscato Canelli,Moscato Canelli,2015,72462,BRANCAS E ROSADAS,846cf28f-9468-4baf-9976-7d74683ae4ab
101,br_Moscato Giallo,Moscato Giallo,2015,1785956,BRANCAS E ROSADAS,6576e454-2b83-4574-b208-58f986ebd092
102,br_Moscato Nazareno,Moscato Nazareno,2015,886075,BRANCAS E ROSADAS,acb2c64b-55e6-45ca-816b-1bf3d8121428
103,br_Moscato Bianco R2,Moscato Bianco R2,2015,863910,BRANCAS E ROSADAS,f0acef73-8edc-48b4-8b72-6c20b3cf009a
104,br_Moscato de Alexandria,Moscato de Alexandria,2015,192945,BRANCAS E ROSADAS,d4e04801-49e1-4544-b4f8-bcaa0941ec62
105,br_Moscato Rosado,Moscato Rosado,2015,0,BRANCAS E ROSADAS,3b6feccc-3845-4e82-9495-357a5cfeb331
106,br_Muscat a Petits Grains,Muscat à Petits Grains,2015,0,BRANCAS E ROSADAS,acd6d4a6-c9c4-4683-a1e6-efe668e63036
107,br_Muller Thurgau,Muller Thurgau,2015,0,BRANCAS E ROSADAS,69ed7ca9-cbbf-4bd8-954c-dff404afc7d0
108,br_Muscadelle,Muscadelle,2015,0,BRANCAS E ROSADAS,1ed08659-26c5-487b-b9bb-5941a128ba90
109,br_Ora,Ora,2015,0,BRANCAS E ROSADAS,2086df64-d17d-4c42-a717-632a02ba635d
110,br_Palomino,Palomino,2015,0,BRANCAS E ROSADAS,a12b2373-8da3-45bc-bd04-3c59355a1ad1
111,br_Petit Manseng,Petit Manseng,2015,0,BRANCAS E ROSADAS,1481bc5c-0d27-4b45-a5fa-af132bb1ffc9
112,br_Peverella,Peverella,2015,40719,BRANCAS E ROSADAS,a64ccbb6-9110-4acd-8437-75e775c1c23e
113,br_Pinot Blanc,Pinot Blanc,2015,7218,BRANCAS E ROSADAS,4b8bf09f-792c-42d1-af61-2f2d175cd95e
114,br_Pinot Gris,Pinot Gris,2015,118118,BRANCAS E ROSADAS,ecc844fe-25b0-4584-991c-cd7e380d1bd5
115,br_Prosecco,Prosecco,2015,3319779,BRANCAS E ROSADAS,bfbc5f54-7200-4a67-8b5e-636e7ae2ca60
116,br_Red Veltliner,Red Veltliner,2015,0,BRANCAS E ROSADAS,fc8854f1-1204-4f72-8357-479bccaad763
117,br_Riesling Italico,Riesling Italico,2015,3468606,BRANCAS E ROSADAS,a70e62aa-1b07-44dc-bb94-9d54dbbf8a2a
118,br_Riesling Renano,Riesling Renano,2015,153605,BRANCAS E ROSADAS,59e7cb0c-fc5f-46e1-8db9-90bcfcee7c03
119,br_Sauvignon Blanc(2),Sauvignon Blanc(2),2015,614222,BRANCAS E ROSADAS,6f88b66d-913c-4df7-b181-104bbb6ee724
120,br_Sauvignon Gris,Sauvignon Gris,2015,1504,BRANCAS E ROSADAS,8277a42e-7b0a-4958-ab3e-083eff51f3ec
121,br_Seara Nova,Seara Nova,2015,0,BRANCAS E ROSADAS,1f57dabf-c34f-4e4b-a540-eb9b9e3f7976
122,br_Semillon,Semillon,2015,177672,BRANCAS E ROSADAS,4f936281-6f8d-4f51-b440-6043f930c10f
123,br_Schonburger,Schonburger,2015,0,BRANCAS E ROSADAS,f164131f-b303-4d9e-8b85-67089267a7c4
124,br_Sylvaner,Sylvaner,2015,0,BRANCAS E ROSADAS,03be0fb6-5e6b-4afa-8cf7-deab0ab2ee91
125,br_Tocai Friulano,Tocai Friulano,2015,0,BRANCAS E ROSADAS,c6907bc7-186e-4a09-8871-a0aedfcc1727
126,br_Trebbiano,Trebbiano,2015,3830336,BRANCAS E ROSADAS,c8bf7237-8b99-4a44-b376-333ebf8d84fe
127,br_Trebbiano Toscano,Trebbiano Toscano,2015,0,BRANCAS E ROSADAS,0eaf13ca-648c-4d39-a240-4de176336c6a
128,br_Verdea,Verdea,2015,0,BRANCAS E ROSADAS,672dca01-7119-4c4a-bc30-52a5e07edf21
129,br_Verdelho,Verdelho,2015,0,BRANCAS E ROSADAS,0a3070cf-0608-43ce-aedf-0253134ab3e7
130,br_Verdiso,Verdiso,2015,0,BRANCAS E ROSADAS,3f54be23-0cdd-419a-9202-b05e40666114
131,br_Vermentino,Vermentino,2015,790,BRANCAS E ROSADAS,806d9d40-13bd-4241-85a8-e3cb2a3f389d
132,br_Vernaccia,Vernaccia,2015,4760,BRANCAS E ROSADAS,db8c474b-e879-4dcf-bf86-451a3540db99
133,br_Viognier,Viognier,2015,285217,BRANCAS E ROSADAS,111158fd-8712-4857-b418-7af7cb659674
134,br_Outras(3),Outras(3),2015,0,BRANCAS E ROSADAS,dfb2ccc2-f71a-42ff-8a66-9d65b161b06b
2,ti_Alicante Bouschet,Alicante Bouschet,2016,908841,TINTAS,ef13d64b-9af9-40e2-b556-e93ccb70aa2b
3,ti_Ancelota,Ancelota,2016,179028,TINTAS,573fbd93-8359-4e90-aa34-a62f07a4fef2
4,ti_Aramon,Aramon,2016,0,TINTAS,3cb5ace9-6367-412a-ad84-260fa6469e50
5,ti_Alfrocheiro,Alfrocheiro,2016,0,TINTAS,af606a2e-4263-4ec1-866c-3319a74fe50c
6,ti_Arinarnoa,Arinarnoa,2016,17691,TINTAS,e0ace4c3-d3e7-40fc-b380-a259e9b1c78d
7,ti_Aspirant Bouschet,Aspirant Bouschet,2016,12901,TINTAS,f6071e8e-d11b-49a0-ba42-fa5bbca1c694
8,ti_Barbera,Barbera,2016,14738,TINTAS,0dcf0c27-3f37-4f9d-b32e-b9af9469dd4f
9,ti_Bonarda,Bonarda,2016,0,TINTAS,954e87e5-9b3e-4078-89b0-1dfcf255b680
10,ti_Cabernet Franc,Cabernet Franc,2016,820996,TINTAS,4d5b0371-c39e-4786-8a70-1c60fe674acb
11,ti_Cabernet Sauvignon,Cabernet Sauvignon,2016,3877852,TINTAS,d75cd6f9-ce5f-4e11-9bbe-2e59793f90d8
12,ti_ Caladoc,Caladoc,2016,2180,TINTAS,3536d42d-d145-4651-8322-521856eae1ec
13,ti_Campanario,Campanario,2016,0,TINTAS,5c0eb454-bde4-40d6-960e-f20c898ecd6f
14,ti_Canaiolo,Canaiolo,2016,0,TINTAS,82962f7b-bdfa-4ad2-bbb4-1abf6cc66557
15,ti_Carignan,Carignan,2016,0,TINTAS,8f9c6c66-1ace-4f81-b906-95a147a1be2d
16,ti_Carmenere,Carmenere,2016,87402,TINTAS,3a0f333a-e288-4b38-965a-e8de4010f1e3
17,ti_Castelão,Castelão,2016,0,TINTAS,8ef617fd-6f70-4779-9ffe-a7b9dd656bd5
18,ti_Corvina,Corvina,2016,419,TINTAS,e0d6d766-b8ad-4703-9c62-97ed71258042
19,ti_Croatina,Croatina,2016,0,TINTAS,49dd9e2c-aaa5-48be-a14c-ad63ea3e70cc
20,ti_Cinsaut,Cinsaut,2016,0,TINTAS,a810f856-557b-4791-bbef-90c270efe05f
21,ti_Dom Felder,Dom Felder,2016,0,TINTAS,b0330525-a186-46c8-8344-aea4719c08dd
22,ti_Dolcetto,Dolcetto,2016,0,TINTAS,37455a5a-24e7-4e31-bac4-3f1c04317e49
23,ti_Durif,Durif,2016,0,TINTAS,7ad2ed23-2de9-427c-8d4f-112e46b8420f
24,ti_Egiodola,Egiodola,2016,519874,TINTAS,23af603a-2d6c-42cb-8ba4-1e6d7acf738f
25,ti_Ekigaina,Ekigaina,2016,0,TINTAS,79289ac2-430b-4247-8c3d-a2e5a7551a97
