id,control,produto,ano,valor,categoria,product_id
41,ou_Filtrado_doce,  Filtrado doce,2013,6685648,OUTROS PRODUTOS COMERCIALIZADOS,093545f8-3016-4c79-8510-952da76f496e
42,ou_Jeropiga,  Jeropiga,2013,94860,OUTROS PRODUTOS COMERCIALIZADOS,7bc8d505-baa2-4dd8-8cc9-e7b4df1963ca
43,ou_Mistelas,  Mistelas,2013,1655,OUTROS PRODUTOS COMERCIALIZADOS,a0821b38-c115-4660-8545-a006372ca46b
44,ou_Mosto_concentrado,  Mosto concentrado,2013,0,OUTROS PRODUTOS COMERCIALIZADOS,51871a5c-2c91-4e9f-9427-4ce81c0dba2e
45,ou_Mosto_uva,  Mosto de uva,2013,325562,OUTROS PRODUTOS COMERCIALIZADOS,f7681b3f-4043-4be3-8b5b-b34a9266f272
46,ou_Mosto_sulfitado,  Mosto sulfitado,2013,0,OUTROS PRODUTOS COMERCIALIZADOS,ca88ba95-67f8-4a7a-812d-04d0de991b5c
47,ou_Nectar,  Nectar de uva,2013,5347775,OUTROS PRODUTOS COMERCIALIZADOS,03bf8277-74de-436a-9d98-471b6161a882
48,ou_Outros_produtos,  Outros produtos,2013,529274,OUTROS PRODUTOS COMERCIALIZADOS,53e1c5f7-1cdd-4a34-b78d-a906ac9683da
49,ou_Polpa,  Polpa de uva,2013,1981851,OUTROS PRODUTOS COMERCIALIZADOS,c6485dec-fa8b-447e-a250-33da09bf301b
50,ou_Preparado_líquido,  Preparado líquido para refresco,2013,623481,OUTROS PRODUTOS COMERCIALIZADOS,3ded2e4e-b1a4-4e70-a76e-9b431cdd3c8f
51,ou_Refrigerante,  Refrigerante +50% suco,2013,0,OUTROS PRODUTOS COMERCIALIZADOS,1e651cb9-a2f3-4365-b7a6-73ac1d2ab9b2
52,ou_Sangria,  Sangria,2013,76039,OUTROS PRODUTOS COMERCIALIZADOS,29e776ba-70f9-41e0-a0f1-acad71a44c3d
